_id,tahun_data,kabupaten,kecamatan,desa,titik
1,2023,Banjarnegara,Pagentan,Majasari,1
2,2023,Banjarnegara,Pagentan,Kayuares,1
3,2023,Banjarnegara,Sigaluh,Prigi,1
4,2023,Banjarnegara,Sigaluh,Karangmangu,1
5,2023,Banjarnegara,Pejawaran,Biting,1
6,2023,Banjarnegara,Pejawaran,Gembol,1
7,2023,Banjarnegara,Pejawaran,Ratamba,1
8,2023,Banjarnegara,Pagentan,Pagentan,1
9,2023,Banyumas,Somagede,Kemawi,1
10,2023,Banyumas,Kebasen,Kalisalak,1
11,2023,Banyumas,Jatilawang,Kedungwringin,1
12,2023,Banyumas,Kedungbanteng,Kalikesur,1
13,2023,Banyumas,Sumbang,Banjarsari Wetan,1
14,2023,Banyumas,Kembaran,Sambeng Wetan,1
15,2023,Banyumas,Rawalo,Tambaknegara,1
16,2023,Banyumas,Pekuncen,Karangkemiri,1
17,2023,Banyumas,Ajibarang,Sawangan,1
18,2023,Banyumas,Kalibagor,Suro,1
19,2023,Batang,Reban,Ngadirejo,1
20,2023,Batang,Bawang,Sibebek,1
21,2023,Batang,Pecalungan,Siguci,1
22,2023,Batang,Reban,Wonorojo,1
23,2023,Batang,Pecalungan,Selokarto,1
24,2023,Batang,Pecalungan,Gombong,1
25,2023,Batang,Tersono,Kranggan,1
26,2023,Batang,Bawang,Sidoharjo,1
27,2023,Batang,Reban,Sojomerto,1
28,2023,Batang,Reban,Padomasan,1
29,2023,Batang,Reban,Kepundung,1
30,2023,Batang,Blado,Keputon,1
31,2023,Batang,Blado,Kambangan,1
32,2023,Blora,Sambong,Sambongrejo,1
33,2023,Blora,Japah,Harjowinangun,1
34,2023,Blora,Japah,Beganjing,1
35,2023,Blora,Japah,Japah,1
36,2023,Blora,Kunduran,Klokah,1
37,2023,Blora,Todanan,Cokrowati,1
38,2023,Blora,Sambong,Temengeng,1
39,2023,Blora,Banjarejo,Sendanggayam,1
40,2023,Blora,Kunduran,Sempu,1
41,2023,Boyolali,Juwangi,Pilangrejo,1
42,2023,Boyolali,Juwangi,Jerukan,1
43,2023,Boyolali,Ampel,Ngargosari,1
44,2023,Boyolali,Andong,Beji,1
45,2023,Boyolali,Kemusu,Kemusu,1
46,2023,Boyolali,Ngemplak,Pandeyan,1
47,2023,Boyolali,Sambi,Tempursari,1
48,2023,Boyolali,Selo,Selo,1
49,2023,Boyolali,Andong,Kadipaten,1
50,2023,Boyolali,Nogosari,Potronayan,1
51,2023,Boyolali,Sambi,Tawengan,1
52,2023,Boyolali,Kemusu,Genengsari,1
53,2023,Boyolali,Kemusu,Klewor,1
54,2023,Boyolali,Sambi,Catur,1
55,2023,Brebes,Bantarkawung,Pangebatan,1
56,2023,Brebes,Bantarkawung,Jipang,1
57,2023,Brebes,Salem,Citimbang,1
58,2023,Brebes,Banjarharjo,Cikakak,1
59,2023,Brebes,Banjarharjo,Cibuniwangi,1
60,2023,Brebes,Banjarharjo,Cigadung,1
61,2023,Brebes,Sirampog,Sridadi,1
62,2023,Brebes,Salem,Gunungsugih,1
63,2023,Brebes,Salem,Pabuaran,1
64,2023,Brebes,Bantarkawung,Cinanas,1
65,2023,Brebes,Paguyangan,Cipetung,1
66,2023,Cilacap,Wanareja,Adimulya,1
67,2023,Cilacap,Wanareja,Limbangan,1
68,2023,Cilacap,Wanareja,Madura,1
69,2023,Cilacap,Adipala,Karangsari,1
70,2023,Cilacap,Gandrungmangu,Karanganyar,1
71,2023,Cilacap,Karangpucung,Pangawaren,1
72,2023,Cilacap,Kawunganten,Bojong,1
73,2023,Cilacap,Kawunganten,Sarwadadi,1
74,2023,Cilacap,Kesugihan,Dondong,1
75,2023,Cilacap,Kesugihan,Karangjengkol,1
76,2023,Cilacap,Kawunganten,Ujungmanik,1
77,2023,Cilacap,Sidareja,Penyarang 1,1
78,2023,Demak,Wonosalam,Getas,1
79,2023,Demak,Karanganyar,Jatirejo,1
80,2023,Demak,Wedung,Berahan Wetan,1
81,2023,Demak,Wedung,Berahan Kulon,1
82,2023,Demak,Karangawen,Jragung,1
83,2023,Demak,Kebonagung,Mijen,1
84,2023,Demak,Sayung,Prampelan,1
85,2023,Demak,Sayung,Sidogemah,1
86,2023,Demak,Demak,Kedondong,1
87,2023,Demak,Bonang,Weding,1
88,2023,Grobogan,Ngaringan,Sumberagung,1
89,2023,Grobogan,Gubug,Mlilir,1
90,2023,Grobogan,Ngaringan,Bandungsari,1
91,2023,Grobogan,Gubug,Kuwaron,1
92,2023,Grobogan,Gubug,Ginggangtani,1
